barid,region,dsid,nproj,cost,prepass_co,prepass_ch,prepass_st,prepass_ct,prepass_cu,prepass_fish,prepass_agrinf,postpass,s_co,s_ch,s_st,s_ct,s_cu,s_agri_current,s_roadrail_current,s_inundhab_current,s_building_current,s_publicuse_current,s_agri_future,s_roadrail_future,s_inundhab_future,s_building_future,s_publicuse_future,coho_salmon,chinook_salmon,steelhead,cutthroat_trout,chum,agri_current,roadrail_current,inundhab_current,building_current,publicuse_current,agri_future,roadrail_future,inundhab_future,building_future,publicuse_future,barriertype,name,primarytg,dominanttg,exclude_reason,lon,lat
10571fs1,Coquille,3703fs1,1,75000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,Gray Creek,0,0,,-124.1562611,43.11440814
105ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.24047064,43.18779885
105ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.04377787,43.40843206
106ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.24030338,43.18777981
106ts2,Coos,NA,1,300000,0,0,0,0,0,0,0,1,0.0980065228919855,0,0.114321590947286,0.0907296261637528,0,0.0343052395530875,0.0511229244796981,0.0338336411031852,0,0,0.0398937861835562,0.191381818479508,0,0,0,1.4677619777391,,1.32721739449978,2.08784223041475,,60.5246353149414,0.132177785038948,60.7831192016601,,,76.0662155151367,0.719007432460784,,,,Tide gate,,1,0,,-124.10685027,43.37652173
107ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.24054536,43.18638403
107ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1087329,43.37742695
108ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1120124,43.37693085
109ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0.0111438870205798,0,0,0,0,0.00277495760301822,0.0584646246900107,0.00272517146176444,0,0,0.00325451264512235,0.0512907521609129,0,0.0122950819672131,0,0.166892704387179,,,0,,4.89584970474243,0.151159673929214,4.89584970474243,,,6.20543909072876,0.192695587873458,,3,,Tide gate,,1,0,,-124.11936357,43.37771156
10Ats1,Coquille,NA,1,550000,0,0,0,0,0,0,0,1,0.209886222140652,0,0,0.616033330353902,0,0.46403164658819,0.0532638591562465,0.459202709271608,0,0,0.497847128622404,0.0649003277256593,0.479906736836698,0,0,3.14329095063267,,,14.175969381099,,818.689697265625,0.137713149189949,824.971008300781,,,949.254272460937,0.243825763463974,905.514709472656,,,Tide gate,Foster Dairy,1,0,,-124.27287483,43.18261515
