BUDGET ($ million)	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
Barrier Count	0	2	3	5	7	8	10	12	15	17	20
Tide gate Count	0	2	3	5	7	8	10	12	15	17	20
Upstream Count	0	0	0	0	0	0	0	0	0	0	0
Dominant Count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
											
NET POTENTIAL BENEFIT (TARGET UNITS):											
Coho_salmon	0.0	5.86537644724425	17.076412774819516	26.677416165249088	29.185164416652206	34.31533689162184	36.81375171452922	38.263014155917105	39.30896240718387	39.93682644048208	39.93682644048208
InundHab_Current	0.0	1388.653137207031	1899.00112915039	2183.865409851072	2404.0944175720188	2439.76207065582	2550.3340806961032	2666.0504360198943	2856.7071094512908	2972.8794403076135	3143.503055572506
											
NET POTENTIAL BENEFIT (STANDARDIZED VALUES):											
Target Weights:											
InundHab_Current	1.0000										
Coho_salmon	1.0000										
Net Potential Benefit by Target:											
InundHab_Current	0.0000	0.7730	1.0570	1.2156	1.3382	1.3580	1.4196	1.4840	1.5901	1.6548	1.7498
Coho_salmon	0.0000	0.3916	1.1402	1.7813	1.9488	2.2913	2.4582	2.5549	2.6248	2.6667	2.6667
Weighted Net Gain Across Targets	0.0000	1.1646	2.1973	2.9969	3.2870	3.6494	3.8777	4.0389	4.2149	4.3215	4.4165
											
BARID	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	InSoln	Name	Cost	Region	BarrierType	Downstr BARID	PrimaryTG	DominantTG	Exclude_Reason	Coho_salmon	InundHab_Current	POINT_X	POINT_Y
102ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24036865	43.19279781
103ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24022034	43.19158436
104ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24040582	43.19082829
10571fs1	0	0	0	0	0	0	0	0	0	0	0	0	Gray Creek	75000	Coquille	Upstream	3703fs1	0	0				-124.1562611	43.11440814
105ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24047064	43.18779885
106ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24030338	43.18777981
107ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24054536	43.18638403
11Ats1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.27709809	43.19199485
11Bts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.27708143	43.19195628
12Ats1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25959186	43.19541777
12Bts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25958111	43.19535752
12Dts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	815000	Coquille	Tide gate		1	0	Replaced and restored. Winter Lake	14.9761662226987	1796.52905273437	-124.26004247	43.19569185
15637fs1	0	0	0	0	0	0	0	0	0	0	0	0	Foster Dairy	75000	Coquille	Upstream	10Ats1	0	0				-124.26048532	43.18084389
15938fs1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	75000	Coquille	Upstream	12Dts1	0	0	Replaced and restored. Winter Lake	2.01576188990944		-124.23609485	43.20078768
16092fs1	0	0	0	0	0	0	0	0	0	0	0	0	Seestrom Creek	75000	Coquille	Upstream	14ts1	0	0		0.0144558853314819		-124.2916764	43.14433693
16385fs1	0	0	0	0	0	0	0	0	0	0	0	0	Beaver Slough	75000	Coquille	Upstream	61Bts1	0	0				-124.23005363	43.2406355
17584fs1	0	0	0	0	0	0	0	0	0	0	0	0	Sevenmile Creek	75000	Coquille	Upstream	10245fs1	0	0				-124.34679663	43.19292248
17ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.28599154	43.13226694
21ts1	0	0	0	0	0	0	0	0	0	0	0	0	(Restored)	0	Coquille	Tide gate		1	0	Restored	0.257561458581474	79.1910858154296	-124.31740087	43.11463441
23901fs1	0	0	0	0	0	0	0	0	0	0	0	0	Beaver Slough	75000	Coquille	Upstream	61Bts1	0	0				-124.21845872	43.22369573
24ts1	0	0	0	0	0	0	0	0	0	0	0	0	 	390000	Coquille	Tide gate		1	0			21.1383762359619	-124.33868461	43.1364409
26ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.34251366	43.14029479
27ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.34200778	43.14688782
28ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.34199013	43.148414
29413fs1	0	0	0	0	0	0	0	0	0	0	0	0	Sevenmile Creek	75000	Coquille	Upstream	17584fs1	0	0				-124.34653615	43.19366002
29ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.34199519	43.14945983
30ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.34272414	43.15365479
32ts1	0	0	0	0	0	0	0	0	0	0	0	0	Cedar Creek	390000	Coquille	Tide gate		1	0			13.0898036956787	-124.34852251	43.15896173
33ts1	0	0	0	0	0	0	0	0	0	0	0	0	 	390000	Coquille	Tide gate		1	0			12.8727922439575	-124.35028098	43.16117722
3641fs1	0	0	0	0	0	0	0	0	0	0	0	0	Beaver Slough	75000	Coquille	Upstream	61Bts1	0	0		0.999903148608267		-124.20636181	43.22989931
3642fs1	0	0	0	0	0	0	0	0	0	0	0	0	Beaver Slough	75000	Coquille	Upstream	61Bts1	0	0				-124.21990799	43.23550477
3703fs1	0	0	0	0	0	0	0	0	0	0	0	0	Gray Creek	75000	Coquille	Upstream	37ts1	0	0				-124.1615402	43.10956617
38ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.31446039	43.11372733
3978fs1	0	0	0	0	0	0	0	0	0	0	0	0	Sevenmile Creek	75000	Coquille	Upstream	35ts1	0	0	Stream barrier other than culvert			-124.348975	43.16810445
40ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24313982	43.20683538
41ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24506562	43.20268619
42ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24499888	43.20279449
43ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24498855	43.20268834
44ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24989382	43.20270386
4506fs1	0	0	0	0	0	0	0	0	0	0	0	0	Beaver Slough	75000	Coquille	Upstream	61Bts1	0	0				-124.20725789	43.2312376
45ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24993395	43.20269894
46Ats1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25960794	43.20264227
46Bts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25959727	43.202691
47ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25967341	43.20668352
48ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25987126	43.20864952
49ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25974475	43.2095891
50ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25720361	43.20974229
51ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24966576	43.20952562
52ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24951881	43.20949736
53ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24612269	43.20956855
55Bts1	0	0	0	0	0	0	0	0	0	0	0	0	East Randolph Slough	390000	Coquille	Tide gate		1	0			6.90164709091186	-124.33888199	43.15868394
56ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.29762964	43.14852284
57ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25998702	43.19939885
58ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25994966	43.20169481
59ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25993835	43.20280636
60ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.26441439	43.20735978
62ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25593608	43.21299053
63ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25554019	43.21298416
64ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25434838	43.21306041
65ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.2518894	43.20958371
66ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24960189	43.20961468
67ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24842124	43.2096485
68ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24780709	43.2095599
69ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24642802	43.20965594
70ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24278102	43.20975619
71ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24312981	43.21009071
72ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.2429784	43.20682508
73ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24341003	43.2058271
74ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24358053	43.2057228
75ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24970696	43.20616552
76ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24980483	43.20617339
77ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25339477	43.20258477
